ID	Quanto tempo de experiência na área de dados você tem?	Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?	Você está satisfeito na sua empresa atual?	Qual o principal motivo da sua insatisfação com a empresa atual?	Você participou de entrevistas de emprego nos últimos 6 meses?	Você pretende mudar de emprego nos próximos 6 meses?	Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?	Atualmente qual a sua forma de trabalho?	Qual a forma de trabalho ideal para você?	Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?	Sua empresa passu por Layoff em 2022?	Atuacao	Quais das linguagens listadas abaixo você utiliza no trabalho?
wqzgmoe2ia0u8omxruwqzgmdqpg9g5b6	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python
wqs2q7rdx48s3wqs7h8vs3qh15z3vna8	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Não tenho uma boa relação com meu líder/gestor	Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	JavaScript
wqm528nru75mbqswqmlelmye3e587syp	Menos de 1 ano	de 1 a 2 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Benefícios	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python
wqhtpx8f8eumw2256wqh35pcrccmsard												Buscando oportunidade na área de dados	
wq9azntiu5o576e3wq91jv57739qvqgj												Buscando oportunidade na área de dados	
wq7wykc30iaryqelh8wq7w0kg3ybzqce	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
wq5m2hez96qyjutnemwq5mkcffsbvh67	Mais de 10 anos	Menos de 1 ano	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, R, Python, Visual Basic/VBA
wq3o1ngsuint7z0iwlmwq3o1novw7m5p	Mais de 10 anos	de 3 a 4 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto, Benefícios, Remuneração/Salário	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
wq0l0kaglyze0i2zh4pxfwq0l0k20wzx	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, R
wpvcllpz9rebam2hhwpvcz3ahijjck4k	Mais de 10 anos	de 7 a 10 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Qualidade dos gestores e líderes	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL
wpl66vjyo2lrbjmlmy96mlwpl6qcme0j	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
wpfk8pz6d5p39x9499b5wpfk0bt2ar58												Buscando oportunidade na área de dados	
wp3qno78ssurhd23wp3qna2e57us6o8y	de 4 a 6 anos	de 3 a 4 anos	FALSE	Gostaria de receber mais benefícios, Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado	Sim, fui aprovado e mudei de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Benefícios, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python, Visual Basic/VBA, JavaScript
woyfznymibw03lwoyfzn7os8miwdxccr	Mais de 10 anos	de 5 a 6 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wos6ftkbqe75b4wos6fzsk1n13ltd6zm	Mais de 10 anos	de 3 a 4 anos	FALSE	Gostaria de trabalhar em em outra área de atuação	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wopbao43numi0dvrwopban6oil5c3kn6	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Qualidade dos gestores e líderes, Reputação que a empresa tem no mercado	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
woms891udwvoupk01cb0woms891795o5	de 4 a 6 anos	de 3 a 4 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
woe7tjc0547n74ijjlsilkioowoe7tj0	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados	Modelo híbrido com dias fixos de trabalho presencial	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
wodearecbdk4dm7qqvjqwodearevma6z	de 3 a 4 anos	Menos de 1 ano	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wocrpsl3dr5x9rfxwocrpksy7dug5ngw	de 1 a 2 anos	Menos de 1 ano	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wo9xwl41i10z3izam54wo9xwqiix71yl	Menos de 1 ano	Menos de 1 ano	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wnwwoidx952lsa737c9wnwwoih408n70	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Flexibilidade de trabalho remoto, Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Python
wmuql4vs0tnt69ji7bfwmuql4dumch9i	Mais de 10 anos	de 5 a 6 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário	Modelo 100% presencial	Modelo 100% presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wmazqsoi0mj8xxajwmafyc79j4tjh6hm	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wm9qsc8l94q1a93wm9qpc3769d8jhq2i												Buscando oportunidade na área de dados	
wlv4n45uwjrvni6gajwlv4k7rncc1ir9	Mais de 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta a sensação de pertencer a empresa	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Gestor	
wkw7g8vxo3lplcn52wkw7ga8xoy7uryt	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	1
wkkcledw6su29kvpwkkcl7a0npq122q7	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Flexibilidade de trabalho remoto, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo 100% remoto	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wkhldsw4fr8hgsfifnwkhldskbixeeio	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Qualidade dos gestores e líderes	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wkgec2l5r1g2eeu4wkgec2vk112wiuyi	de 3 a 4 anos	Menos de 1 ano	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wj1bs0apzexg64iqjywwj1bs1rcqr7bb	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wiwodu3cgrc3u1igwiwodul90iojux18												Buscando oportunidade na área de dados	
wiwd7mo2toi3ey1arwiwdon6e3eijt2i	de 1 a 2 anos	Menos de 1 ano	FALSE	Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Java
wivl1to7blf9kxev9dvwivl1tv014f0s												Buscando oportunidade na área de dados	
wirefl5pv7ljywiref4x9fnqk6micy4x	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado e mudei de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python, R
wijqh2uiivvtnm204ek5awijqh2sudyz	de 7 a 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% presencial	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
wihhl99kw2ba5q5w4md9wihhl9hsq8pn												Buscando oportunidade na área de dados	
wibq3jss3554lsbyrdiu3d3qwibq3jss	de 3 a 4 anos	de 5 a 6 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, C/C++/C#
wi7mwgqyte6ugspe0cpfuiwi7mwgoq56	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
whn74q3anuqbhngi0bice4t7gwhn74q3	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	Python, SQL, R, JavaScript
whk8695h1ikcj3wdimbwhk869wj3xlgc	de 7 a 10 anos	de 3 a 4 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
wgyasnc4wnwdhnwwgyastzntclul7jpu	de 1 a 2 anos	de 1 a 2 anos	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wgvclrcm0805mp36evw3pt7swgvclrcm	de 4 a 6 anos	Mais de 10 anos	FALSE	Salário atual não corresponde ao mercado	Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Benefícios, Propósito do trabalho e da empresa	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	Scala, Python, SQL, Java
wgthpy8azj7l8n6947vxwgthpt456500	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Benefícios, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
wgdgoxwv5h5kx38pwgdgonnnhyq3ixla												Buscando oportunidade na área de dados	
wg6iqr9yggyp8dndwg6irc1sbhiic48g	de 4 a 6 anos	de 3 a 4 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wfy7r2icuwks7hwwfy7uy2nj4u16bflh	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
wfr7e9k88qex7mqwfkmwugoh6m597c5a	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando, mas me considero aberto a outras oportunidades	Benefícios, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
wfj72kpic742c4tm8ks2d2wfj72kpi1u	de 3 a 4 anos	de 3 a 4 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto	Modelo híbrido com dias fixos de trabalho presencial	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python, SAS/Stata
wewdxrn7mksfaobwewo8dm9odp1n2o23	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta de maturidade analítica na empresa	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades, mas apenas fora do Brasil	Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wea9bstmsuf684lcawea9bpg2eycd9mh	Mais de 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Propósito do trabalho e da empresa, Remuneração/Salário, Reputação que a empresa tem no mercado	Modelo 100% remoto	Modelo 100% remoto	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
wdp5opw6q1jtpliyztwdp5qg1gotbnqo	de 3 a 4 anos	de 1 a 2 anos	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Análise de Dados	Python, SQL
wdcxhog7m155tofqtymrzwdcxhoq7wi1	de 4 a 6 anos	de 7 a 10 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Ambiente e clima de trabalho, Propósito do trabalho e da empresa, Remuneração/Salário	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
